id,boltz_pp,esm3_ptm,chai_pp,af3_pp,track1_af3only,track2_af3chai,track3_all4,track4_rank_sum,track5_chai_only
22,0.3429473837216695,0.9361671805381775,0.12402558,0.2733333333333333,0.2733333333333333,0.19867946,0.41911837,50,0.12402558
106,0.3179754863182704,0.93293297290802,0.12589435,0.21333333333333335,0.21333333333333335,0.16961384,0.39753404,63,0.12589435
46,0.3222120553255081,0.9369049072265625,0.12372587,0.19666666666666666,0.19666666666666666,0.16019627,0.39487737,69,0.12372587
23,0.5302128692468008,0.9366523623466492,0.13303815,0.17333333333333334,0.17333333333333334,0.15318574,0.4433092,74,0.13303815
127,0.31649420658747357,0.9377710223197937,0.15502666,0.22666666666666666,0.22666666666666666,0.19084667,0.40898964,40,0.15502666
11,0.31931013862291974,0.9350672960281372,0.15202239,0.5499999999999999,0.5499999999999999,0.35101122,0.48909995,20,0.15202239
175,0.4062642107407252,0.9335792660713196,0.13311036,0.16333333333333333,0.16333333333333333,0.14822185,0.4090718,75,0.13311036
43,0.33959318200747174,0.9349184036254883,0.16879545,0.19333333333333333,0.19333333333333333,0.1810644,0.40916008,46,0.16879545
14,0.6307716270287832,0.9325724840164185,0.16017658,0.24666666666666667,0.24666666666666667,0.20342162,0.49254683,32,0.16017658
86,0.5195571482181549,0.8989465832710266,0.37573305,0.17666666666666667,0.17666666666666667,0.27619985,0.49272585,43,0.37573305
92,0.3765435765186946,0.934756875038147,0.11173067,0.16333333333333333,0.16333333333333333,0.137532,0.39659113,94,0.11173067
148,0.34379030764102936,0.9344128370285034,0.17725424,0.3133333333333333,0.3133333333333333,0.2452938,0.44219768,16,0.17725424
137,0.3940000931421916,0.9331837892532349,0.13897572,0.22999999999999998,0.22999999999999998,0.18448786,0.4240399,41,0.13897572
121,0.31783003608385724,0.9352811574935913,0.12625848,0.18666666666666665,0.18666666666666665,0.15646258,0.3915091,73,0.12625848
17,0.3524044454097748,0.9351691007614136,0.111349426,0.22666666666666668,0.22666666666666668,0.16900805,0.4063974,69,0.111349426
118,0.4924363096555074,0.9361330270767212,0.22540498,0.20333333333333334,0.20333333333333334,0.21436915,0.46432692,33,0.22540498
44,0.500525693098704,0.9361410140991211,0.11970029,0.18000000000000002,0.18000000000000002,0.14985014,0.43409175,82,0.11970029
124,0.3125689625740051,0.9363604784011841,0.1469654,0.2866666666666667,0.2866666666666667,0.21681604,0.42064038,30,0.1469654
62,0.48660409450531006,0.9334441423416138,0.16504058,0.2866666666666667,0.2866666666666667,0.22585362,0.46793887,25,0.16504058
90,0.31519802908102673,0.9342036247253418,0.17466699,0.32,0.32,0.2473335,0.43601716,15,0.17466699
144,0.35842405756314594,0.9337924718856812,0.10098652,0.19666666666666666,0.19666666666666666,0.1488266,0.39746743,83,0.10098652
3,0.4127567609151204,0.9320999383926392,0.12114818,0.23333333333333336,0.23333333333333336,0.17724076,0.42483455,58,0.12114818
139,0.3679959277311961,0.9328283667564392,0.1380555,0.17,0.17,0.15402776,0.40221995,69,0.1380555
160,0.3352706531683604,0.9303857088088989,0.15654308,0.22333333333333336,0.22333333333333336,0.1899382,0.41138318,41,0.15654308
